Input	Normalized	Gene	First	Middle	Last	SD
24	raw	APOE	0.5979	0.5942	0.5683	0
24	raw	EGFR	0.5549	0.5583	0.541	0
24	raw	TNF	0.5741	0.5849	0.5594	0
24	raw	TP53	0.5391	0.5392	0.5147	0
24	raw	VEGFA	0.4789	0.4772	0.5031	0
24	zscore	APOE	0.5979	0.5942	0.5683	0
24	zscore	EGFR	0.5549	0.5583	0.541	0
24	zscore	TNF	0.5741	0.5849	0.5594	0
24	zscore	TP53	0.5391	0.5392	0.5147	0
24	zscore	VEGFA	0.4789	0.4772	0.5031	0
24	subtraction	APOE	0.5838	0.5913	0.6066	0
24	subtraction	EGFR	0.5414	0.5472	0.5669	0
24	subtraction	TNF	0.5457	0.5619	0.5996	0
24	subtraction	TP53	0.5184	0.5211	0.5402	0
24	subtraction	VEGFA	0.524	0.522	0.5083	0
48	raw	APOE	0.633	0.6396	0.5274	0
48	raw	EGFR	0.5935	0.604	0.5284	0
48	raw	TNF	0.5807	0.6081	0.5421	0
48	raw	TP53	0.5789	0.5789	0.5093	0
48	raw	VEGFA	0.4741	0.4696	0.4922	0
48	zscore	APOE	0.633	0.6396	0.5274	0
48	zscore	EGFR	0.5935	0.604	0.5284	0
48	zscore	TNF	0.5807	0.6081	0.5421	0
48	zscore	TP53	0.5789	0.5789	0.5093	0
48	zscore	VEGFA	0.4741	0.4696	0.4922	0
48	subtraction	APOE	0.6177	0.6384	0.6512	0
48	subtraction	EGFR	0.5592	0.5671	0.6075	0
48	subtraction	TNF	0.6028	0.6319	0.6528	0
48	subtraction	TP53	0.5348	0.5495	0.5797	0
48	subtraction	VEGFA	0.5291	0.5253	0.5274	0
96	raw	APOE	0.6931	0.7116	0.5195	0
96	raw	EGFR	0.6459	0.6554	0.5598	0
96	raw	TNF	0.5836	0.6128	0.5713	0
96	raw	TP53	0.6637	0.644	0.5067	0
96	raw	VEGFA	0.4543	0.4568	0.4471	0
96	zscore	APOE	0.6931	0.7116	0.5195	0
96	zscore	EGFR	0.6459	0.6554	0.5598	0
96	zscore	TNF	0.5836	0.6128	0.5713	0
96	zscore	TP53	0.6637	0.644	0.5067	0
96	zscore	VEGFA	0.4543	0.4568	0.4471	0
96	subtraction	APOE	0.7025	0.7331	0.6816	0
96	subtraction	EGFR	0.5946	0.6053	0.6413	0
96	subtraction	TNF	0.7237	0.7463	0.7521	0
96	subtraction	TP53	0.5859	0.592	0.6213	0
96	subtraction	VEGFA	0.558	0.561	0.5879	0
192	raw	APOE	0.7974	0.8208	0.6791	0
192	raw	EGFR	0.6888	0.73	0.6259	0
192	raw	TNF	0.5705	0.6172	0.7296	0
192	raw	TP53	0.716	0.686	0.5123	0
192	raw	VEGFA	0.5204	0.5203	0.5104	0
192	zscore	APOE	0.7974	0.8208	0.6791	0
192	zscore	EGFR	0.6888	0.73	0.6259	0
192	zscore	TNF	0.5705	0.6172	0.7296	0
192	zscore	TP53	0.716	0.686	0.5123	0
192	zscore	VEGFA	0.5204	0.5203	0.5104	0
192	subtraction	APOE	0.8428	0.869	0.8327	0
192	subtraction	EGFR	0.6378	0.7074	0.682	0
192	subtraction	TNF	0.8044	0.8278	0.7436	0
192	subtraction	TP53	0.6289	0.6437	0.6839	0
192	subtraction	VEGFA	0.6744	0.6772	0.6632	0
384	raw	APOE	0.9371	0.9637	0.8566	0
384	raw	EGFR	0.7362	0.8277	0.7042	0
384	raw	TNF	0.6459	0.8119	0.9081	0
384	raw	TP53	0.7775	0.7409	0.5497	0
384	raw	VEGFA	0.5632	0.5883	0.5855	0
384	zscore	APOE	0.9371	0.9637	0.8566	0
384	zscore	EGFR	0.7362	0.8277	0.7042	0
384	zscore	TNF	0.6459	0.8119	0.9081	0
384	zscore	TP53	0.7775	0.7409	0.5497	0
384	zscore	VEGFA	0.5632	0.5883	0.5855	0
384	subtraction	APOE	0.9257	0.9513	0.8989	0
384	subtraction	EGFR	0.7231	0.8232	0.7357	0
384	subtraction	TNF	0.8667	0.9657	0.7967	0
