Input	Gene	Exon_Probability	SD
24	APOE	0.366	0.133
48	APOE	0.4351	0.1041
96	APOE	0.5031	0.1653
192	APOE	0.5642	0.2306
384	APOE	0.709	0.205
768	APOE	0.904	0.1145
1,536	APOE	0.9798	0.0469
3,072	APOE	0.9883	0.0376
6,144	APOE	0.9891	0.0379
12,288	APOE	0.9905	0.0374
24,576	APOE	0.9904	0.037
24	EGFR	0.3075	0.1706
48	EGFR	0.3708	0.1352
96	EGFR	0.3508	0.1478
192	EGFR	0.3365	0.1712
384	EGFR	0.4118	0.2653
768	EGFR	0.5155	0.3028
1,536	EGFR	0.6577	0.3689
3,072	EGFR	0.7996	0.3054
6,144	EGFR	0.9736	0.0433
12,288	EGFR	0.9905	0.021
24,576	EGFR	0.992	0.0203
24	TNF	0.3197	0.1698
48	TNF	0.387	0.143
96	TNF	0.369	0.1728
192	TNF	0.3221	0.212
384	TNF	0.4151	0.2979
768	TNF	0.6081	0.3045
1,536	TNF	0.9341	0.0753
3,072	TNF	0.9841	0.027
6,144	TNF	0.9875	0.0232
12,288	TNF	0.9875	0.0238
24,576	TNF	0.9874	0.0227
24	TP53	0.361	0.1426
48	TP53	0.4456	0.1154
96	TP53	0.4852	0.1463
192	TP53	0.4661	0.118
384	TP53	0.5652	0.0913
768	TP53	0.7424	0.1199
1,536	TP53	0.8533	0.0948
3,072	TP53	0.7862	0.1375
6,144	TP53	0.8726	0.0783
12,288	TP53	0.8885	0.0717
24,576	TP53	0.8866	0.0686
24	VEGFA	0.3012	0.1774
48	VEGFA	0.3505	0.1456
96	VEGFA	0.3204	0.1523
192	VEGFA	0.2995	0.1787
384	VEGFA	0.2722	0.2076
768	VEGFA	0.3437	0.286
1,536	VEGFA	0.511	0.338
3,072	VEGFA	0.8813	0.195
6,144	VEGFA	0.9846	0.0227
12,288	VEGFA	0.9892	0.0212
24,576	VEGFA	0.9901	0.0208
